id,name,street,bic
BANCO_CENTRAL_DE_RESERVA_DE_EL_SALVADOR,BANCO CENTRAL DE RESERVA DE EL SALVADOR, San salvador, CENRSVSS
BANCO_CITIBANK_DE_EL_SALVADOR_S.A.,BANCO CITIBANK DE EL SALVADOR S.A., San salvador, BACUSVSS
"BANCO_AGRICOLA,_S.A.","BANCO AGRICOLA, S.A.", San salvador, CAGRSVSS
"BANCO_DE_AMERICA_CENTRAL,_S.A.","BANCO DE AMERICA CENTRAL, S.A.", San salvador, BAMCSVSS
BANCO_HIPOTECARIO_DE_EL_SALVADOR_S.A.,BANCO HIPOTECARIO DE EL SALVADOR S.A., San salvador, BHSASVSS
"BANCO_HSBC_SALVADORENO,_S.A.","BANCO HSBC SALVADORENO, S.A.", San salvador, BSALSVSS
BANCO_MULTISECTORIAL_DE_INVERSIONES,BANCO MULTISECTORIAL DE INVERSIONES, San salvador, BMDISVSS
"BANCO_PROCREDIT,_S.A.","BANCO PROCREDIT, S.A.", San salvador, PRCBSVSS
"SCOTIABANK_EL_SALVADOR,_S.A.","SCOTIABANK EL SALVADOR, S.A.", San salvador, BCSASVSS
